time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
3.234948,nan,0.169168,0.134898
3.239948,0.141506,0.172106,0.140842
3.244947,nan,0.180272,0.146859
3.249947,0.125545,0.179026,0.152960
3.254946,nan,0.186503,0.159155
3.259946,0.225899,0.192554,0.165436
3.264946,nan,0.203653,0.171790
3.269945,0.102881,0.197674,0.178205
3.274945,nan,0.206067,0.184661
3.279945,0.170116,0.207855,0.191140
3.284944,nan,0.215826,0.197641
3.289944,0.285153,0.230237,0.204167
3.294944,nan,0.237213,0.210722
3.299943,0.301049,0.247352,0.217310
3.304943,nan,0.257249,0.223931
3.309942,0.359444,0.274125,0.230606
3.314942,nan,0.284894,0.237337
3.319942,-0.025040,0.253543,0.244106
3.324941,nan,0.269062,0.250893
3.329941,0.551556,0.302974,0.257693
3.334941,nan,0.312418,0.264505
3.339940,0.205774,0.304443,0.271337
3.344940,nan,0.312717,0.278189
3.349940,0.276373,0.314193,0.285072
3.354939,nan,0.321798,0.291982
3.359939,0.273129,0.319679,0.298908
3.364938,nan,0.328906,0.305836
3.369938,0.408009,0.343018,0.312766
3.374938,nan,0.357281,0.319683
3.379937,0.210902,0.341426,0.326576
3.384937,nan,0.352268,0.333454
3.389937,0.375299,0.361298,0.340329
3.394936,nan,0.373601,0.347218
3.399936,0.355120,0.376385,0.354142
3.404936,nan,0.386276,0.361108
3.409935,0.509844,0.409256,0.368100
3.414935,nan,0.419387,0.375114
3.419935,0.354492,0.414404,0.382132
3.424934,nan,0.427913,0.389141
3.429934,0.320274,0.419738,0.396137
3.434933,nan,0.426362,0.403135
3.439933,0.290010,0.417534,0.410136
3.444933,nan,0.425906,0.417136
3.449932,0.630342,0.451024,0.424161
3.454932,nan,0.459288,0.431195
3.459932,0.315123,0.446142,0.438238
3.464931,nan,0.456344,0.445294
